# Timer data started: Fri Mar 17 18:29:48 2023
# timer(10 ns), starts, total starts, total stops
254, 336, 63943, 258
255, 122, 64065, 259
868, 29, 64094, 260
342, 297, 64391, 261
1855, 194, 64585, 262
164, 8, 64593, 263
412, 30, 64623, 264
273, 141, 64764, 265
105, 35, 64799, 266
778, 258, 65057, 267
3631, 68, 65125, 268
1491, 56, 65181, 269
38, 88, 65269, 270
557, 182, 65451, 271
229, 90, 65541, 272
97, 74, 65615, 273
226, 567, 66182, 274
619, 628, 66810, 275
477, 186, 66996, 276
443, 404, 67400, 277
368, 225, 67625, 278
887, 392, 68017, 279
241, 264, 68281, 280
1369, 675, 68956, 281
70, 248, 69204, 282
329, 216, 69420, 283
1941, 41, 69461, 284
533, 231, 69692, 285
3721, 123, 69815, 286
166, 392, 70207, 287
13, 35, 70242, 288
3892, 233, 70475, 289
124, 35, 70510, 290
48, 125, 70635, 291
268, 237, 70872, 292
62, 156, 71028, 293
63, 275, 71303, 294
311, 72, 71375, 295
3198, 356, 71731, 296
180, 228, 71959, 297
3966, 488, 72447, 298
3207, 10, 72457, 299
45, 67, 72524, 300
130, 50, 72574, 301
114, 44, 72618, 302
879, 3, 72621, 303
272, 113, 72734, 304
696, 73, 72807, 305
26, 89, 72896, 306
697, 135, 73031, 307
69, 209, 73240, 308
212, 308, 73548, 309
511, 414, 73962, 310
793, 240, 74202, 311
572, 162, 74364, 312
2842, 89, 74453, 313
3148, 13, 74466, 314
3547, 228, 74694, 315
108, 3, 74697, 316
949, 192, 74889, 317
81, 326, 75215, 318
811, 117, 75332, 319
10, 4, 75336, 320
2504, 8, 75344, 321
529, 287, 75631, 322
2518, 365, 75996, 323
4081, 147, 76143, 324
116, 470, 76613, 325
1383, 517, 77130, 326
112, 52, 77182, 327
240, 151, 77333, 328
3716, 235, 77568, 329
15, 225, 77793, 330
1557, 192, 77985, 331
886, 66, 78051, 332
195, 173, 78224, 333
170, 151, 78375, 334
638, 352, 78727, 335
14, 159, 78886, 336
88, 372, 79258, 337
41, 42, 79300, 338
157, 90, 79390, 339
3677, 1, 79391, 340
3334, 207, 79598, 341
563, 73, 79671, 342
409, 316, 79987, 343
274, 190, 80177, 344
392, 192, 80369, 345
2589, 681, 81050, 346
165, 534, 81584, 347
291, 148, 81732, 348
3280, 20, 81752, 349
70, 122, 81874, 350
38, 708, 82582, 351
202, 260, 82842, 352
2985, 229, 83071, 353
387, 163, 83234, 354
2651, 135, 83369, 355
45, 101, 83470, 356
2908, 683, 84153, 357
184, 184, 84337, 358
56, 611, 84948, 359
710, 185, 85133, 360
761, 403, 85536, 361
205, 357, 85893, 362
1116, 6, 85899, 363
3052, 23, 85922, 364
330, 162, 86084, 365
618, 13, 86097, 366
3569, 306, 86403, 367
291, 549, 86952, 368
30, 302, 87254, 369
165, 188, 87442, 370
2632, 478, 87920, 371
3148, 167, 88087, 372
2673, 308, 88395, 373
60, 348, 88743, 374
985, 7, 88750, 375
300, 92, 88842, 376
332, 380, 89222, 377
69, 806, 90028, 378
246, 65, 90093, 379
106, 45, 90138, 380
293, 91, 90229, 381
1501, 406, 90635, 382
139, 69, 90704, 383
2373, 72, 90776, 384
385, 140, 90916, 385
133, 531, 91447, 386
89, 14, 91461, 387
1383, 265, 91726, 388
2843, 116, 91842, 389
341, 118, 91960, 390
2873, 358, 92318, 391
1092, 560, 92878, 392
551, 151, 93029, 393
152, 108, 93137, 394
3243, 441, 93578, 395
474, 295, 93873, 396
72, 211, 94084, 397
298, 136, 94220, 398
391, 501, 94721, 399
67, 255, 94976, 400
93, 304, 95280, 401
11, 262, 95542, 402
763, 285, 95827, 403
254, 320, 96147, 404
799, 140, 96287, 405
258, 1447, 97734, 406
550, 116, 97850, 407
186, 42, 97892, 408
2019, 125, 98017, 409
188, 7, 98024, 410
240, 152, 98176, 411
67, 76, 98252, 412
2388, 53, 98305, 413
638, 42, 98347, 414
372, 159, 98506, 415
527, 129, 98635, 416
3048, 202, 98837, 417
373, 201, 99038, 418
574, 462, 99500, 419
26, 109, 99609, 420
117, 183, 99792, 421
337, 153, 99945, 422
