# Timer data started: Wed Mar 15 19:09:02 2023
# timer(10 ns), starts, total starts, total stops
3795, 324, 58701, 257
255, 89, 58790, 258
2293, 100, 58890, 259
117, 80, 58970, 260
678, 440, 59410, 261
501, 136, 59546, 262
3621, 220, 59766, 263
3012, 230, 59996, 264
504, 62, 60058, 265
357, 294, 60352, 266
34, 85, 60437, 267
1492, 27, 60464, 268
277, 378, 60842, 269
183, 185, 61027, 270
18, 64, 61091, 271
90, 42, 61133, 272
390, 1058, 62191, 273
814, 54, 62245, 274
26, 9, 62254, 275
118, 425, 62679, 276
73, 17, 62696, 277
36, 66, 62762, 278
156, 312, 63074, 279
866, 174, 63248, 280
10, 134, 63382, 281
244, 83, 63465, 282
13, 286, 63751, 283
236, 181, 63932, 284
1864, 296, 64228, 285
141, 90, 64318, 286
19, 69, 64387, 287
3353, 343, 64730, 288
229, 188, 64918, 289
3083, 21, 64939, 290
199, 13, 64952, 291
142, 135, 65087, 292
2219, 23, 65110, 293
511, 75, 65185, 294
87, 178, 65363, 295
546, 16, 65379, 296
2379, 70, 65449, 297
143, 197, 65646, 298
137, 35, 65681, 299
272, 203, 65884, 300
2556, 182, 66066, 301
2102, 555, 66621, 302
180, 355, 66976, 303
455, 63, 67039, 304
123, 515, 67554, 305
735, 552, 68106, 306
139, 312, 68418, 307
74, 279, 68697, 308
96, 243, 68940, 309
522, 62, 69002, 310
25, 42, 69044, 311
251, 71, 69115, 312
151, 208, 69323, 313
81, 180, 69503, 314
154, 249, 69752, 315
623, 211, 69963, 316
30, 59, 70022, 317
335, 4, 70026, 318
49, 427, 70453, 319
3555, 482, 70935, 320
49, 466, 71401, 321
339, 299, 71700, 322
22, 629, 72329, 323
3222, 76, 72405, 324
1090, 267, 72672, 325
1787, 373, 73045, 326
2031, 20, 73065, 327
121, 176, 73241, 328
2870, 162, 73403, 329
176, 390, 73793, 330
78, 558, 74351, 331
99, 221, 74572, 332
3277, 180, 74752, 333
1115, 41, 74793, 334
876, 198, 74991, 335
22, 229, 75220, 336
120, 81, 75301, 337
22, 44, 75345, 338
239, 86, 75431, 339
451, 259, 75690, 340
2106, 96, 75786, 341
538, 204, 75990, 342
111, 470, 76460, 343
762, 135, 76595, 344
589, 30, 76625, 345
1452, 595, 77220, 346
82, 36, 77256, 347
1179, 25, 77281, 348
1850, 130, 77411, 349
768, 313, 77724, 350
782, 255, 77979, 351
1468, 217, 78196, 352
2735, 1213, 79409, 353
20, 72, 79481, 354
816, 48, 79529, 355
83, 548, 80077, 356
436, 15, 80092, 357
3738, 4, 80096, 358
147, 114, 80210, 359
20, 909, 81119, 360
82, 36, 81155, 361
1572, 64, 81219, 362
1355, 470, 81689, 363
130, 31, 81720, 364
2437, 30, 81750, 365
649, 651, 82401, 366
4065, 159, 82560, 367
49, 358, 82918, 368
166, 36, 82954, 369
23, 281, 83235, 370
102, 116, 83351, 371
1502, 902, 84253, 372
30, 130, 84383, 373
1694, 14, 84397, 374
2104, 774, 85171, 375
364, 4, 85175, 376
67, 9, 85184, 377
1510, 182, 85366, 378
25, 842, 86208, 379
47, 119, 86327, 380
157, 460, 86787, 381
100, 413, 87200, 382
30, 228, 87428, 383
95, 429, 87857, 384
1064, 11, 87868, 385
42, 127, 87995, 386
332, 178, 88173, 387
131, 13, 88186, 388
249, 221, 88407, 389
17, 12, 88419, 390
54, 351, 88770, 391
37, 136, 88906, 392
2850, 19, 88925, 393
45, 351, 89276, 394
338, 690, 89966, 395
590, 847, 90813, 396
337, 8, 90821, 397
697, 21, 90842, 398
122, 59, 90901, 399
224, 168, 91069, 400
42, 71, 91140, 401
20, 304, 91444, 402
143, 64, 91508, 403
94, 206, 91714, 404
227, 887, 92601, 405
1690, 264, 92865, 406
276, 283, 93148, 407
201, 234, 93382, 408
485, 157, 93539, 409
359, 496, 94035, 410
484, 456, 94491, 411
2216, 3, 94494, 412
297, 163, 94657, 413
2250, 272, 94929, 414
92, 24, 94953, 415
311, 498, 95451, 416
505, 533, 95984, 417
1526, 507, 96491, 418
93, 66, 96557, 419
140, 540, 97097, 420
1661, 166, 97263, 421
459, 46, 97309, 422
41, 46, 97355, 423
90, 310, 97665, 424
1884, 168, 97833, 425
115, 139, 97972, 426
35, 1126, 99098, 427
2031, 75, 99173, 428
62, 649, 99822, 429
1681, 198, 100020, 430
139, 13, 100033, 431
412, 449, 100482, 432
141, 794, 101276, 433
1321, 23, 101299, 434
78, 353, 101652, 435
424, 230, 101882, 436
84, 11, 101893, 437
1959, 237, 102130, 438
348, 610, 102740, 439
1143, 519, 103259, 440
118, 13, 103272, 441
2377, 13, 103285, 442
3854, 130, 103415, 443
88, 69, 103484, 444
294, 26, 103510, 445
23, 261, 103771, 446
3145, 292, 104063, 447
29, 84, 104147, 448
374, 481, 104628, 449
354, 31, 104659, 450
37, 49, 104708, 451
1555, 153, 104861, 452
193, 26, 104887, 453
34, 489, 105376, 454
789, 438, 105814, 455
2123, 102, 105916, 456
626, 922, 106838, 457
125, 245, 107083, 458
393, 1, 107084, 459
1614, 322, 107406, 460
405, 66, 107472, 461
282, 216, 107688, 462
71, 81, 107769, 463
213, 236, 108005, 464
1921, 201, 108206, 465
31, 48, 108254, 466
2657, 74, 108328, 467
492, 170, 108498, 468
3981, 28, 108526, 469
129, 70, 108596, 470
2976, 66, 108662, 471
1747, 206, 108868, 472
81, 205, 109073, 473
55, 703, 109776, 474
295, 146, 109922, 475
221, 635, 110557, 476
1716, 748, 111305, 477
304, 645, 111950, 478
211, 202, 112152, 479
23, 285, 112437, 480
385, 836, 113273, 481
82, 52, 113325, 482
216, 108, 113433, 483
160, 308, 113741, 484
164, 323, 114064, 485
12, 972, 115036, 486
3936, 360, 115396, 487
433, 491, 115887, 488
116, 443, 116330, 489
686, 45, 116375, 490
584, 1205, 117580, 491
250, 160, 117740, 492
2342, 68, 117808, 493
2137, 45, 117853, 494
135, 177, 118030, 495
1453, 29, 118059, 496
761, 92, 118151, 497
322, 187, 118338, 498
132, 244, 118582, 499
324, 617, 119199, 500
18, 768, 119967, 501
2438, 354, 120321, 502
59, 377, 120698, 503
378, 68, 120766, 504
159, 119, 120885, 505
3227, 37, 120922, 506
1089, 38, 120960, 507
1143, 591, 121551, 508
51, 64, 121615, 509
3762, 9, 121624, 510
3811, 170, 121794, 511
314, 102, 121896, 512
4026, 245, 122141, 513
159, 37, 122178, 514
17, 190, 122368, 515
72, 401, 122769, 516
64, 86, 122855, 517
92, 49, 122904, 518
842, 120, 123024, 519
71, 36, 123060, 520
86, 181, 123241, 521
